id,epoch,grad_norm,learning_rate,model_norm,train_loss,train_score,val_loss,val_score,grad_norm_std,learning_rate_std,model_norm_std,train_loss_std,train_score_std,val_loss_std,val_score_std,name,beta,bias_correction,lr,lr_schedule,weight_decay,dampening,momentum
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,0,6.960506916046143,0.0001,109.78343454996745,1.2940282861328125,0.5208666666666667,1.2723934323628743,0.5299666666666667,0.11880173602391655,0.0,0.0002753284893786886,0.03038984713057301,0.012960931036516413,0.040545402630932086,0.015717612202027765,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,1,8.176332791646322,0.0001,110.0047607421875,1.0743177655537923,0.6133266666666667,1.071019947052002,0.6130333333333333,1.1924908924311588,0.0,0.001755805326612257,0.04054471823080048,0.01156183953068603,0.04953400368232437,0.014490456629565978,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,2,7.0460184415181475,0.0001,110.21550750732422,0.8887696610514323,0.68426,0.910435814666748,0.6792333333333334,0.7647273729091119,0.0,0.0031904007974886506,0.023180679889668862,0.005942827609816741,0.023261047204417847,0.009485427419643913,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,3,6.989499409993489,0.0001,110.42432657877605,0.8259797801717123,0.7125,0.8562332878112793,0.7073,0.827927689793774,0.0,0.004136717470027181,0.04526658986220988,0.00898574426522369,0.055687600566355654,0.011194641575325244,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,4,8.3478954633077,0.0001,110.6343282063802,0.7453244121297201,0.7378933333333334,0.801335649617513,0.7240666666666667,0.5981782660620383,0.0,0.003165990370671771,0.048041221610360556,0.014656088609630268,0.06294221383324533,0.017470069643059073,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,5,7.541799068450928,0.0001,110.84408823649089,0.6102468823750814,0.7871933333333333,0.6709942156473795,0.7695333333333333,0.31553860320104204,0.0,0.004733775457076804,0.024719799536134252,0.00818462786773679,0.036942894000761776,0.0074191194446061514,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,6,8.63910182317098,0.0001,111.0514907836914,0.6362786425781249,0.7802600000000001,0.7056796390533447,0.7614000000000001,1.5374649828442504,0.0,0.006171331359062049,0.0672902133151263,0.02278189632142155,0.05703976120747055,0.0187512666238844,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,7,7.459043025970459,0.0001,111.25938924153645,0.5639792200978597,0.8032733333333333,0.6403629384358723,0.7830333333333334,0.8137874919935691,0.0,0.007169846387120645,0.024205104619684698,0.009703140385119284,0.0175139586447839,0.005477529856909304,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,8,8.622937679290771,0.0001,111.46901194254558,0.5176606757354736,0.82014,0.6127728856404623,0.7923666666666667,1.9362461847612902,0.0,0.005382143560864857,0.028424466122903634,0.009770383820505768,0.027845399018600635,0.006305817419917363,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,9,6.74714994430542,0.0001,111.67838541666667,0.47135136268615724,0.83576,0.5729533596038818,0.8054333333333333,0.1338733919266544,0.0,0.0042812688047159046,0.008879868865749698,0.0034128580398252954,0.00990370385001529,0.005231953108862242,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,10,7.80412499109904,0.0001,111.89289093017578,0.4517621016820272,0.8408133333333333,0.5731725673675537,0.8053666666666667,1.8056269055452907,0.0,0.003690758539827379,0.011795737294560767,0.002367220592452889,0.017322949234118937,0.005564470624716523,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,11,8.355011145273844,0.0001,112.10797882080078,0.4340171478144328,0.8483,0.5562030064900716,0.8142333333333335,1.9470704234776155,0.0,0.0015080169442775696,0.021228559886499743,0.008269147477219106,0.016757289837707096,0.007746827307571374,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,12,8.986801306406656,0.0001,112.32578786214192,0.4039916597366333,0.8592066666666667,0.5421273667653401,0.8222333333333335,2.4728218903167556,0.0,0.003260085306975184,0.02930405552201172,0.009659654928274208,0.028265267328443158,0.005950070027599126,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,13,7.3849137624104815,0.0001,112.54575093587239,0.3788446026357015,0.8685333333333333,0.5221850207010905,0.8264999999999999,1.6036497064214295,0.0,0.0017299781779222248,0.007188851192242945,0.004178915329763562,0.0012281914739653284,0.003567912554982231,adam,none,none,0.0001,constant,0,none,none
name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,14,6.826995213826497,0.0001,112.76701354980469,0.36820923123677574,0.8717333333333332,0.5178102910995483,0.8286333333333333,0.6808852235360351,0.0,0.003263660227140122,0.014052673252576692,0.004898421514460938,0.015100225691606373,0.005550975890177637,adam,none,none,0.0001,constant,0,none,none
