,id,epoch,grad_norm,learning_rate,model_norm,train_loss,train_score,val_loss,val_score,grad_norm_std,learning_rate_std,model_norm_std,train_loss_std,train_score_std,val_loss_std,val_score_std,name,beta,bias_correction,lr,lr_schedule,weight_decay,dampening,momentum
200,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,0,1.4466764529546101,0.0001,9.51775328318278,0.3613354582203759,0.898561111111111,0.3510555708408356,0.9025,0.3911906159972062,0.0,0.0034857043271076882,0.002029929724937335,0.0016015039228221455,0.002069162238355615,0.0014798648586948884,adam,none,none,0.0001,constant,0,none,none
201,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,1,1.1600029071172078,0.0001,9.89395014444987,0.28150300715764365,0.9167555555555555,0.276173125131925,0.9175999999999999,0.0709291560283864,0.0,0.005968453305130181,0.0022407293131117365,0.0013557832231400717,0.0025714604407096283,0.0018520259177452311,adam,none,none,0.0001,constant,0,none,none
202,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,2,1.3122572898864746,0.0001,10.148621559143066,0.24668618773884243,0.9262,0.24448053663571678,0.9268,0.17070989264895384,0.0,0.01022244260452974,0.0007878129697581767,0.0004481443219916702,0.0006662530635400159,9.999999999998899e-05,adam,none,none,0.0001,constant,0,none,none
203,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,3,1.276171326637268,0.0001,10.369786262512207,0.2188555797073576,0.9349055555555555,0.21859407527049382,0.9346666666666668,0.1476892837614613,0.0,0.012249765287121489,0.0012317775893630793,0.0008489099764688004,0.0013025434931781348,0.00041633319989318513,adam,none,none,0.0001,constant,0,none,none
204,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,4,0.9948439200719198,0.0001,10.579160372416178,0.19564577018684812,0.9417,0.1980804839452108,0.9406,0.1664525509492451,0.0,0.012025816957996061,0.0013664357404125098,0.0007339012952101633,0.0018464737332267093,0.0003464101615137373,adam,none,none,0.0001,constant,0,none,none
205,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,5,1.0317719380060832,0.0001,10.785716692606607,0.1764042057156563,0.9470833333333334,0.18076528194348018,0.9442666666666666,0.08667550254701507,0.0,0.012475220211180993,0.0014504739818269365,0.0005449260908090891,0.001704321728894718,0.0005686240703076774,adam,none,none,0.0001,constant,0,none,none
206,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,6,1.0755916833877563,0.0001,10.978714307149252,0.15982091893619962,0.9522499999999999,0.16565759033163388,0.9487,0.3836649496588146,0.0,0.012541528918497327,0.0009519120126727142,0.0003685557397916112,0.00148346263283572,0.00017320508075686865,adam,none,none,0.0001,constant,0,none,none
207,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,7,0.8157952626546224,0.0001,11.16262181599935,0.14487960631714927,0.9561888888888889,0.15190722950299582,0.9533,0.1688267439091792,0.0,0.010417332099644723,0.000548644393117863,8.221471437195654e-05,0.0011698587152918082,0.0004000000000000392,adam,none,none,0.0001,constant,0,none,none
208,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,8,0.9538055658340454,0.0001,11.336928367614746,0.13436344652838175,0.9594333333333332,0.14256676668922105,0.9559333333333333,0.2913362766065605,0.0,0.009758392511204007,0.0013190825295292807,0.00029202359113226524,0.0018069143884754126,0.0006506407098647863,adam,none,none,0.0001,constant,0,none,none
209,name=adam:lr=0.0001:lr_schedule=constant:weight_decay=0,9,0.927431603272756,0.0001,11.503050804138184,0.12361533100737465,0.9628222222222224,0.1346267561753591,0.9588333333333333,0.27099143326389646,0.0,0.008304550223778809,0.0009572799293019882,0.0005860255335102078,0.001160331267576784,0.0016653327995729296,adam,none,none,0.0001,constant,0,none,none
