id,epoch,grad_norm,learning_rate,model_norm,train_loss,train_score,val_loss,val_score,fstar,h,grad_norm_std,learning_rate_std,model_norm_std,train_loss_std,train_score_std,val_loss_std,val_score_std,fstar_std,h_std,name,beta,lr,lr_schedule,weight_decay,lb
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,0,7.419174671173096,0.0001,90.87651062011719,4.07496669553377,0.19567984926148901,4.214803685302734,0.17772,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,1,6.627399444580078,0.0001,98.87166595458984,3.4382605119512544,0.28542905291224585,3.6310534826660157,0.25954,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,2,7.240200996398926,0.0001,105.87918090820312,3.0423640495153124,0.3467352608068163,3.259741936035156,0.31442,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,3,7.464186191558838,0.0001,112.28424072265625,2.8025295913766715,0.38566485502580083,3.0725058880615235,0.34184,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,4,7.779196262359619,0.0001,118.25628662109375,2.6522092894806066,0.412240791345961,2.9623021875,0.363,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,5,6.903337001800537,0.0001,123.89745330810547,2.486921057404202,0.44148072175272546,2.8338534857177735,0.38778,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,6,7.3808979988098145,0.0001,129.26451110839844,2.3837732852980693,0.4608413163393459,2.7490003399658205,0.39942,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,7,6.768844127655029,0.0001,134.39976501464844,2.2960822676057733,0.4764514006458215,2.7154084704589843,0.41028,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,8,7.135346412658691,0.0001,139.33689880371094,2.214380995393902,0.49080793250486476,2.659137933959961,0.41988,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,9,7.215898513793945,0.0001,144.10337829589844,2.126186045330467,0.5074475533481793,2.6032580053710936,0.42682,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,10,7.226161003112793,0.0001,148.70855712890625,2.0702645496621916,0.5190456453882774,2.577763526916504,0.43544,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,11,8.254087448120117,0.0001,153.1818084716797,2.007911676525183,0.5304852871501508,2.554458070678711,0.43846,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,12,8.389822959899902,0.0001,157.52801513671875,1.9437394156163907,0.5423706191034836,2.526222755126953,0.44584,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,13,7.128346920013428,0.0001,161.76962280273438,1.9011017713905032,0.5501120469824589,2.523878519287109,0.44838,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,14,6.525852680206299,0.0001,165.90582275390625,1.847825022502875,0.5600803647322463,2.507019334716797,0.44968,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,15,7.238656044006348,0.0001,169.93914794921875,1.805337242865388,0.5684782294781522,2.4899752963256834,0.45426,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,16,6.829489707946777,0.0001,173.8900604248047,1.7759666081725731,0.5740239892160146,2.4965222943115233,0.45636,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,17,6.6073079109191895,0.0001,177.76226806640625,1.7352070673025797,0.5819426004110341,2.481072774353027,0.4586,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,18,6.5854058265686035,0.0001,181.5502166748047,1.6980000316887027,0.5896731006846144,2.4782163925170897,0.4604,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
name=adamw:beta=0.9:lr=0.0001:lr_schedule=constant:weight_decay=0.0,19,7.723135471343994,0.0001,185.2659912109375,1.6584592489813508,0.5976713272903675,2.46913100189209,0.46608,,,,,,,,,,,,adamw,0.9,0.0001,constant,0.0,none
