id,epoch,grad_norm,learning_rate,model_norm,train_loss,train_score,val_loss,val_score,grad_norm_std,learning_rate_std,model_norm_std,train_loss_std,train_score_std,val_loss_std,val_score_std,name,beta,bias_correction,lr,lr_schedule,weight_decay,dampening,momentum
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,0,2.3628110885620117,0.0001,45.69633229573568,1.889665275484721,0.29984666668574017,1.8499886240641275,0.30363333333333337,0.3457183991406551,0.0,0.0001986696875164867,0.010399374394034306,0.0074367017695842075,0.007601603222990906,0.008689265408153467,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,1,2.528392473856608,0.0001,45.70832824707031,1.6481788143030804,0.38443333333969115,1.6588483399073282,0.3784666666666667,0.1856433317935542,0.0,0.0005231979332535716,0.005166411216691564,0.0018077979369284392,0.005475652138175266,0.0025658007197234254,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,2,2.7873148123423257,0.0001,45.727038065592446,1.534082426884969,0.4340200000158945,1.5239350851058961,0.43460000000000004,0.4711790929346402,0.0,0.00035339692574874303,0.008868255093817494,0.003551394106322057,0.0044492041397358115,0.001539480431834067,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,3,3.1776678562164307,0.0001,45.74941635131836,1.4449154086812337,0.4685400000127156,1.4455968505223593,0.46386666666666665,0.1938555698951592,0.0,0.00031895523096747084,0.012350681797908384,0.007617112299558668,0.00848450379292287,0.0036665151483845364,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,4,3.2216880321502686,0.0001,45.77312088012695,1.3702489343388875,0.5013000000063578,1.372744859822591,0.4969666666666666,0.13354069067394383,0.0,0.0011937991329387604,0.005102579058201998,0.002403996682048957,0.017981151158488945,0.007715136637372919,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,5,3.328535874684652,0.0001,45.79879633585612,1.2905958296076456,0.5330933333365122,1.2944473532358804,0.5268,0.35835136349505176,0.0,0.0014301011238704014,0.006362262015629605,0.001866047526757013,0.005609541790568301,0.001609347693943087,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,6,3.719658533732096,0.0001,45.82526524861654,1.2468420675150553,0.5486933333778381,1.2555629231770833,0.5442,0.5942052233162268,0.0,0.001244084625066573,0.012420787207480112,0.0027922989305982364,0.012285240113128324,0.007882258559575434,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,7,3.3121906916300454,0.0001,45.85289510091146,1.1813242239252728,0.5746000000190735,1.1918321358362833,0.5685,0.21644436706656575,0.0,0.001053784371545836,0.010128810636565266,0.004688240629152718,0.014328299577920403,0.006345864795281987,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,8,3.5173209508260093,0.0001,45.880900065104164,1.1543060649871826,0.5846066667111715,1.1698426333109537,0.5809666666666667,0.5222585906143108,0.0,0.0005561396019906062,0.01528084966466322,0.005368587656535313,0.01119747906725494,0.009646933882500392,adabelief,none,none,0.0001,constant,0,none,none
name=adabelief:lr=0.0001:lr_schedule=constant:weight_decay=0,9,3.5087736447652182,0.0001,45.90924835205078,1.0949790879821777,0.6089866666730245,1.1110714748382569,0.5990333333333333,0.35332195079807716,0.0,0.0002941772252624218,0.002155754265590308,0.0026917899975310283,0.003465691850193869,0.004764801499887839,adabelief,none,none,0.0001,constant,0,none,none
